5,20.377,15.863,32.129,5.84,117.47,117.76,1103.9,23.563,100.67,68.871
10,6.6917,10.258,31.366,5.2743,113.42,108.94,1074,17.674,49.684,59.709
15,5.4469,8.0784,29.144,4.6381,114.08,108.03,1094.4,15.617,43.012,60.33
20,4.2913,8.0445,28.511,3.8468,112.51,108.78,1089.2,16.19,43.968,56.469
25,5.396,8.8975,29.957,4.6188,120.23,109.57,1109.9,18.738,45.505,58.159
30,7.023,10.796,29.667,6.1404,116.27,111.78,1090.3,17.184,50.578,60.158
35,4.3569,7.5126,27.859,2.625,108.28,108.61,1099.1,17.018,53.387,58.063
40,4.2476,8.117,27.851,3.5316,106.67,106.34,1096.1,14.215,50.893,57.663
45,5.085,9.4227,29.269,4.1701,102.56,106.4,1075.5,19.511,34.869,57.145
50,3.987,7.4629,31.034,3.5919,114.26,112,1077.4,17.057,49.609,64.188
55,5.4524,9.4059,29.258,5.1116,109.42,108.65,1080.9,16.817,43.914,58.566
60,3.2075,6.5923,26.557,4.0457,112.88,110.27,1101.4,14.528,31.644,53.941
65,4.8748,8.7683,29.305,4.9713,106.27,103.12,1085,17.946,47.2,61.6
70,3.2446,6.4962,26.871,3.3075,112.39,110.19,1111.3,14.655,38.494,57.364
75,6.3519,10.942,30.818,4.5145,108.7,110.15,1074.6,15.362,42.023,59.719
80,3.8252,6.3442,29.542,4.3366,108.01,108.8,1091.7,13.947,39.789,56.643
