5,22.948,13.488,17.336,5.8489,81.867,162.3,941.44,11.881,43.696,60.95
10,11.886,17.561,7.5905,2.3975,76.277,145.83,839.93,14.863,21.473,40.482
15,0.10497,1.3765,5.5981,2.551,76.469,146.02,968.03,18.744,21.586,56.589
20,5.7456,9.6837,8.9786,2.7626,88.727,133.04,885.25,1.6717,34.668,50.105
25,9.0982,17.578,13.322,7.9335,61.306,122,940.03,8.6891,65.9,40.955
30,5.9685,13.707,13.77,13.261,88.833,139.36,911.95,8.4706,25.227,35.695
35,0.073515,1.4787,5.3897,2.5752,71.431,154.22,984.41,17.344,26.223,49.219
40,0.084213,1.5029,7.4642,2.868,95.006,139.95,930.64,1.4198,67.401,32.586
